job_id,com_id,pos_id,area_id
91548637,71716882,120221,0
91548630,71716882,120221,77
91548625,71716882,120221,48
91548623,71716882,120221,14
91548618,71716882,120221,19
91545946,73089028,120221,267
91536607,73194717,120221,139
91516422,73133042,120221,215
91515079,72459097,120221,64
91506166,71712597,120221,259
91505930,71056630,120221,215
91505616,71056630,120221,61
91501326,73174031,120221,119
91498561,67784817,120221,125
91497771,72469338,120221,115
91492410,69008452,120221,260
91492404,69008452,120221,260
91491715,69008452,120221,260
91491707,69008452,120221,260
91490073,71056630,120221,19
91478893,71963861,120221,118
91478264,73183676,120221,90
91469184,92926,120221,61
91443708,71633497,120221,342
91443695,71633497,120221,329
91440140,1881760,120221,280
91434180,125304,120221,48
91423948,9591565,120221,27
91304185,73092728,120221,21
91290474,9720167,120221,10
91228971,125304,120221,258
91228965,125304,120221,107
91219474,73152642,120221,8
91210453,73123845,120221,24
91204539,69627295,120221,55
91160328,68636524,120221,112
91159282,73144529,120221,139
91157954,85032,120221,223
91157310,50641239,120221,15
91147724,72428117,120221,216
91136758,71704226,120221,196
91125062,71056630,120221,19
91121713,291541,120221,125
91115289,1285947,120221,29
86031271,942335,120221,16
86020549,1816210,120221,110
86020302,1816210,120221,21
86001202,51721432,120221,53
86001201,51721432,120221,53
86001199,51721432,120221,53
86001197,51721432,120221,53
85982089,50808684,120221,260
85939909,69627295,120221,107
85927056,72471850,120221,68
85923970,71958313,120221,126
85922698,35770655,120221,118
85864563,72428117,120221,216
85848473,1951,120221,16
85839215,125304,120221,44
85249011,1817931,120221,9
85216999,291541,120221,125
85211007,72423976,120221,113
85170441,50957377,120221,53
85140804,50957954,120221,52
85081490,72432021,120221,253
85054753,71958378,120221,290
85015054,1345941,120221,24
84881789,68818431,120221,217
84876661,72427020,120221,119
84843671,130441,120221,43
84842598,8795062,120221,9
80285920,51985162,120221,50
80282206,50955220,120221,126
80266435,1267569,120221,127
80255312,48686120,120221,254
80250954,69014721,120221,13
80180280,71955247,120221,111
80110339,34430021,120221,50
80110319,34430021,120221,118
79962139,72466384,120221,296
79924096,1340212,120221,10
79900423,68788747,120221,219
79642897,71531390,120221,28
79430380,71057844,120221,264
79429780,50925285,120221,9
79396880,1817931,120221,9
78505406,70450753,120221,27
77804662,1816210,120221,257
77300134,69427994,120221,27
77273861,67037813,120221,21
77237689,51665875,120221,30
76950942,3228892,120221,11
76932193,50752818,120221,22
76924416,48470086,120221,216
76924411,48470086,120221,216
76924332,48470086,120221,113
76924330,48470086,120221,113
76924318,48470086,120221,113
76924317,48470086,120221,113
76924315,48470086,120221,113
76924311,48470086,120221,113
76924308,48470086,120221,113
76924306,48470086,120221,113
76924305,48470086,120221,113
76924292,48470086,120221,21
76924290,48470086,120221,21
76924262,48470086,120221,21
76924258,48470086,120221,21
76923309,68846907,120221,150
76922588,69414625,120221,9
76824248,50811972,120221,113
76755021,68788747,120221,16
76736943,54940232,120221,21
76688777,72040444,120221,255
76515607,68788747,120221,255
76505715,54934498,120221,53
76457331,68788747,120221,16
76413859,35770655,120221,269
76200694,51870986,120221,15
76182902,10396192,120221,116
75970911,50115339,120221,253
75693234,1250751,120221,124
75689464,51360869,120221,20
