com_id,com_name,capital,emp_num,addr
9680060,三卯鍛壓工業股份有限公司,150,88,彰化縣福興鄉福工路12號(福興工業區)
73146660,諾思國際有限公司,48,\N,桃園市桃園區經國路892號8樓
50753837,膠原科技股份有限公司,11,\N,台北市大安區敦化南路二段105號26樓
1285950,(匯僑設計)匯僑室內裝修設計股份有限公司,10,250,台北市松山區南京東路四段75號12樓
73146724,神洋國際興業有限公司,55,\N,桃園市龍潭區梅龍路700巷38號
125426,陽明營造股份有限公司,16,70,台北市內湖區新湖三路237號6樓
71304264,傳意股份有限公司,221,15,台南市永康區新行街300號
72466748,品策方舟有限公司,8,10,台北市大同區市民大道一段209號11樓
72190627,貝格爾育成集團(貝格爾托嬰中心),\N,\N,暫不提供
9598280,薩摩亞商順譽世界企業有限公司(波力 Bonny),124,\N,台中市潭子區民生街64巷13號
1816977,科瑞股份有限公司,33,40,新北市淡水區中正東路二段27之5號22樓(紅樹林捷運站對面)
69616317,燕心國際有限公司(oumos),11,\N,台北市大安區新生南路一段151巷7號1樓
73083222,共創會計記帳士事務所,24,\N,新北市樹林區佳園路一段75巷206號
72016270,奕峯多媒體國際行銷有限公司(Boss Dog 逗狗樂園),112,19,台中市北屯區柳陽西街94巷10號1樓
35868188,三二行館(彩色人生興業股份有限公司)(villa32),15,80,台北市北投區中山路32號
1853816,一路發國際物流股份有限公司(Prosperco),259,100,高雄市苓雅區四維四路199號3樓
51870231,諾頓國際文化事業股份有限公司(尚揚補習班),11,20,台北市大安區信義路二段208號6樓
71967624,憶光行報關有限公司,32,\N,新北市八里區廈竹圍25號B棟2樓
72111069,艾魅十八美學會館,253,\N,高雄市左營區華夏路306號
68002159,朝洋營造有限公司,82,10,宜蘭縣羅東鎮新群五路152號
70473265,凱翊國際文化創意有限公司,\N,\N,暫不提供
71057240,春囍打邊爐_春囍國際有限公司,253,\N,高雄市左營區明誠二路396號
7185036,育達文教事業股份有限公司,108,250,台中市東區信義街166號6樓
8960713,明師中醫聯合診所.,22,100,新北市永和區永和路一段2號
49825450,嘉愛貿易有限公司(嘉愛國際貿易有限公司),11,\N,台北市大安區敦化南路二段59號14樓
10001323,中天企業有限公司,27,20,新北市三重區重新路五段639之1號1樓
9990076,和德建設股份有限公司,9,\N,台北市中山區長安東路二段101號8樓
9590380,省權實業股份有限公司,149,50,彰化縣線西鄉中華路283巷臨99號
50557526,益詮金屬有限公司,119,15,台中市豐原區三和路354巷97弄46之28號
