job_id,degree,low_salary,high_salary,exp_year,job_type,worktime,isnight,needed_num,url
296,56,40000,\N,10,0,9.0,1,1,85029346
297,56,26000,28000,0,0,8.0,1,1,85012468
298,56,26000,28000,0,0,8.0,1,1,85012446
299,56,26000,28000,0,0,8.0,1,1,85012439
300,56,26000,28000,0,0,8.0,1,1,85012407
301,0,23800,30000,0,0,8.0,1,1,84999215
302,24,40000,\N,2,0,8.0,1,1,84873197
303,60,40000,\N,0,0,9.5,1,1,84869680
304,56,30000,50000,3,0,-3.0,1,1,84854544
305,56,23800,80000,2,0,8.0,1,1,84851609
306,60,40000,\N,0,0,9.0,1,1,80091238
307,60,25000,50000,0,0,8.0,1,1,79750068
308,28,25000,50000,3,0,8.0,1,1,79797282
309,60,28000,50000,3,0,8.0,1,1,78590356
310,28,40000,\N,3,0,9.0,1,1,78349686
311,60,40000,\N,1,0,9.0,1,1,78316855
312,56,23800,25000,0,0,-3.0,3,1,77774996
313,56,40000,\N,3,0,8.0,1,2,77157474
314,56,30000,38000,1,0,9.0,1,1,76182888
315,56,35000,40000,3,0,8.0,1,1,54573757
316,24,40000,\N,5,0,8.0,1,2,53740002
317,8,25000,25000,1,0,8.0,1,1,91539806
318,8,35000,35000,5,0,9.0,1,1,91539436
319,0,30000,30000,0,0,8.0,1,1,91539278
320,8,35000,45000,0,0,9.0,1,1,91536772
321,56,28000,38000,1,0,8.0,1,1,91535856
322,24,40000,\N,3,0,8.0,1,1,91535709
323,56,32000,45000,0,0,8.0,1,1,91528196
324,56,28000,28000,2,0,9.0,1,1,91523475
325,60,35000,50000,1,0,8.0,1,1,91518020
326,28,40000,\N,3,0,9.0,1,1,91514891
327,0,40000,\N,2,0,8.0,1,1,91514549
328,28,30000,35000,3,0,9.0,1,1,91508433
329,60,38000,45000,0,0,8.0,1,1,91507846
330,56,25000,35000,0,0,8.0,1,1,91504576
331,28,32000,45000,2,0,9.0,1,1,91502467
332,0,25000,28000,1,0,9.0,2,5,91498552
333,28,50000,50000,5,0,8.0,1,1,91495593
334,60,23800,23800,1,0,9.5,1,1,91492593
335,56,33000,37000,3,0,8.0,1,1,91487671
336,0,35000,60000,0,0,8.0,1,1,91487638
337,56,40000,\N,10,0,8.0,1,1,91486448
338,0,25000,25000,1,0,9.0,1,1,91478195
339,56,30000,40000,0,0,8.0,1,1,91475873
340,8,35000,40000,2,0,9.0,1,1,91473236
341,0,28000,28000,1,0,9.5,1,0,91471902
342,24,36000,42000,0,0,9.0,1,1,91465006
343,4,28000,32000,8,0,9.5,1,1,91458429
344,8,24000,30000,0,0,8.0,1,1,91441716
345,60,23800,23800,0,0,9.5,1,1,91427335
346,0,40000,\N,0,0,8.0,1,1,91272283
347,12,30000,40000,0,0,9.25,1,1,91260113
348,0,30000,60000,0,0,8.0,3,1,91251911
349,28,40000,\N,0,0,8.0,3,1,91247365
350,0,30000,35000,0,0,10.166666666666668,1,1,91244700
351,8,32000,42000,0,0,8.0,1,1,91234430
352,0,27000,35000,0,0,10.0,1,5,91232504
353,60,35000,42000,1,0,8.0,1,1,91221403
354,28,32000,45000,0,0,8.0,1,1,91220043
